id;log_date;log_time_from;log_time_to;permission_hours;details
1;2022-05-30;2022-05-29T17:31:48;2022-05-29T20:44:49;19249;transparent Dollar disintermediate
2;2022-05-30;2022-05-30T09:41:37;2022-05-30T08:04:55;64289;circuit enterprise
3;2022-05-30;2022-05-29T21:44:36;2022-05-29T20:10:21;33242;productize Account
4;2022-05-30;2022-05-29T16:45:46;2022-05-30T09:14:53;64091;Games
5;2022-05-30;2022-05-30T12:10:04;2022-05-30T03:19:37;33880;world-class blue metrics
6;2022-05-29;2022-05-29T20:21:59;2022-05-30T01:34:18;47752;Architect system Incredible
7;2022-05-29;2022-05-30T12:08:11;2022-05-30T03:13:16;70192;Loan
8;2022-05-29;2022-05-30T06:04:40;2022-05-30T03:45:29;294;Papua
9;2022-05-30;2022-05-30T01:15:53;2022-05-29T21:01:03;72869;Shirt Grocery
10;2022-05-30;2022-05-30T16:17:12;2022-05-30T02:51:06;31147;SDD input HDD
